Date,Adj Close,Close,High,Low,Open,Volume
2023-04-06,18462.150390625,18462.150390625,18510.55078125,18303.80078125,18345.650390625,1822700
2023-04-10,18390.69921875,18390.69921875,18493.349609375,18348.19921875,18487.400390625,1404300
2023-04-11,18588.55078125,18588.55078125,18606.900390625,18447.400390625,18518.69921875,1654300
2023-04-12,18702.05078125,18702.05078125,18726.75,18587.05078125,18618.44921875,1092000
2023-04-13,18854.30078125,18854.30078125,18878.30078125,18661.900390625,18718.900390625,1478600
2023-04-17,18827.25,18827.25,19103.5,18665.05078125,19103.5,1485500
2023-04-18,18764.599609375,18764.599609375,18896.400390625,18718.349609375,18890.0,1348000
2023-04-19,18768.650390625,18768.650390625,18794.44921875,18704.19921875,18783.349609375,1113500
2023-04-20,18790.30078125,18790.30078125,18851.349609375,18733.75,18793.5,1033500
2023-04-21,18753.75,18753.75,18843.30078125,18671.55078125,18786.349609375,1135500
2023-04-24,18992.94921875,18992.94921875,19006.349609375,18822.650390625,18910.400390625,1456200
2023-04-25,18961.849609375,18961.849609375,19050.25,18934.30078125,19010.5,1897200
2023-04-26,19003.0,19003.0,19024.0,18859.849609375,18929.150390625,1230300
2023-04-27,19097.150390625,19097.150390625,19118.75,18970.69921875,18976.69921875,1317200
2023-04-28,19162.55078125,19162.55078125,19189.05078125,18977.75,19109.44921875,1485400
2023-05-02,19208.05078125,19208.05078125,19265.19921875,19168.05078125,19229.5,1361800
2023-05-03,19182.25,19182.25,19200.44921875,19091.80078125,19151.55078125,996800
2023-05-04,19479.349609375,19479.349609375,19501.19921875,19152.5,19161.849609375,1326900
2023-05-05,19023.849609375,19023.849609375,19306.75,18995.349609375,19104.150390625,1542700
2023-05-08,19303.94921875,19303.94921875,19353.400390625,19055.650390625,19079.400390625,1016100
2023-05-09,19274.69921875,19274.69921875,19424.900390625,19238.150390625,19360.44921875,1208600
2023-05-10,19337.150390625,19337.150390625,19356.150390625,19138.099609375,19306.0,1186900
2023-05-11,19401.5,19401.5,19517.650390625,19366.75,19428.150390625,1083600
2023-05-12,19507.150390625,19507.150390625,19556.349609375,19335.849609375,19366.69921875,1031700
2023-05-15,19583.19921875,19583.19921875,19631.849609375,19461.400390625,19519.80078125,852500
2023-05-16,19439.0,19439.0,19584.55078125,19392.650390625,19584.55078125,1394200
2023-05-17,19301.349609375,19301.349609375,19461.30078125,19206.400390625,19460.69921875,1130900
2023-05-18,19363.75,19363.75,19485.55078125,19332.05078125,19421.75,1508400
2023-05-19,19420.19921875,19420.19921875,19446.099609375,19266.849609375,19443.19921875,1151800
2023-05-22,19386.19921875,19386.19921875,19448.849609375,19310.75,19405.400390625,981000
2023-05-23,19397.80078125,19397.80078125,19465.349609375,19356.75,19437.150390625,950100
2023-05-24,19243.0,19243.0,19433.25,19227.150390625,19309.099609375,874400
2023-05-25,19239.30078125,19239.30078125,19255.900390625,19118.400390625,19219.55078125,984900
2023-05-26,19370.5,19370.5,19391.44921875,19200.650390625,19276.5,752000
2023-05-29,19532.69921875,19532.69921875,19614.099609375,19476.5,19516.94921875,1056100
2023-05-30,19606.05078125,19606.05078125,19636.900390625,19493.55078125,19518.19921875,1204400
2023-05-31,19445.75,19445.75,19572.55078125,19338.55078125,19567.69921875,2724900
2023-06-01,19322.69921875,19322.69921875,19509.099609375,19285.900390625,19508.400390625,1120300
2023-06-02,19368.19921875,19368.19921875,19435.349609375,19318.30078125,19419.25,951600
2023-06-05,19438.5,19438.5,19512.599609375,19426.05078125,19453.5,952400
2023-06-06,19479.650390625,19479.650390625,19516.75,19407.849609375,19461.75,1021600
2023-06-07,19538.099609375,19538.099609375,19556.05078125,19469.19921875,19542.80078125,925700
2023-06-08,19436.349609375,19436.349609375,19623.05078125,19403.19921875,19494.75,1193000
2023-06-09,19411.80078125,19411.80078125,19505.94921875,19391.30078125,19455.30078125,2436400
2023-06-12,19399.75,19399.75,19481.69921875,19377.5,19440.75,1080000
2023-06-13,19469.0,19469.0,19497.650390625,19372.05078125,19372.099609375,1209500
2023-06-14,19418.30078125,19418.30078125,19528.75,19403.5,19512.5,963400
2023-06-15,19228.650390625,19228.650390625,19457.599609375,19213.5,19452.80078125,1147600
2023-06-16,19456.900390625,19456.900390625,19519.80078125,19264.25,19290.5,1098800
2023-06-19,19425.900390625,19425.900390625,19533.05078125,19361.80078125,19522.05078125,1227400
2023-06-20,19502.900390625,19502.900390625,19525.94921875,19302.900390625,19422.5,1310300
2023-06-21,19635.94921875,19635.94921875,19660.099609375,19533.0,19594.30078125,1361300
2023-06-22,19594.349609375,19594.349609375,19741.80078125,19577.900390625,19660.400390625,1378500
2023-06-23,19515.05078125,19515.05078125,19624.650390625,19488.150390625,19543.400390625,857300
2023-06-26,19521.75,19521.75,19554.75,19456.30078125,19532.900390625,791700
2023-06-27,19788.5,19788.5,19809.150390625,19555.80078125,19601.0,1374200
2023-06-28,19895.150390625,19895.150390625,19954.900390625,19812.349609375,19917.19921875,1862700
2023-06-30,20057.69921875,20057.69921875,20077.80078125,19949.44921875,20041.75,1194900
2023-07-03,20253.75,20253.75,20398.75,20125.0,20147.25,1007300
