date,fii,dii
2026-01-01,-3039,-565
2026-01-05,737,843
2026-01-08,-3709,5634
2026-01-12,-3108,17
2026-01-15,-3515,2376
2026-01-19,-2062,1897
2026-01-20,-1210,3438
2026-01-22,-2264,2964
2026-01-26,-3213,2367
2026-01-27,-4468,3047
2026-01-28,5390,1731
2026-01-29,-72,-1438
2026-02-02,-310,1980
2026-02-03,-310,1980
2026-02-04,-310,1980
2026-02-05,-310,1980
2026-02-06,-310,1980
2026-02-09,-680,2340
2026-02-10,-680,2340
2026-02-11,-680,2340
2026-02-12,-680,2340
2026-02-13,-680,2340
2026-02-16,150,1110
2026-02-17,150,1110
2026-02-18,150,1110
2026-02-19,150,1110
2026-02-20,150,1110
2026-02-23,-410,1890
2026-02-24,-410,1890
2026-02-25,-410,1890
2026-02-26,-410,1890
2026-02-27,-410,1890
2026-03-02,-3910,4990
2026-03-03,-3910,4990
2026-03-04,-3910,4990
2026-03-05,-3910,4990
2026-03-06,-3910,4990
2026-03-09,-4890,5430
2026-03-10,-4890,5430
2026-03-11,-4890,5430
2026-03-12,-4890,5430
2026-03-13,-4890,5430
2026-03-16,-5120,6210
2026-03-17,-5120,6210
2026-03-18,-5120,6210
2026-03-19,-5120,6210
2026-03-20,-5120,6210
2026-03-23,-6450,7890
2026-03-24,-6450,7890
2026-03-25,-6450,7890
2026-03-26,-6450,7890
2026-03-27,-6450,7890
2026-04-06,-1890,2410
2026-04-07,-1890,2410
2026-04-08,-1890,2410
2026-04-09,-1890,2410
2026-04-10,-1890,2410
2026-04-13,-2450,1980
2026-04-14,-2450,1980
2026-04-15,-2450,1980
2026-04-16,-2450,1980
2026-04-17,-2450,1980
2026-04-20,-4290,3150
2026-04-21,-4290,3150
2026-04-22,-4290,3150
2026-04-23,-4290,3150
2026-04-24,-4290,3150
2026-04-27,-3110,2104
2026-04-28,-3110,2104
2026-04-29,-3110,2104
2026-04-30,-3110,2104
2026-05-01,-3110,2104
2026-05-04,-1980,2890
2026-05-05,-1980,2890
2026-05-06,-1980,2890
2026-05-07,-1980,2890
2026-05-08,-1980,2890
2026-05-11,-3400,4110
2026-05-12,-3400,4110
2026-05-13,-3400,4110
2026-05-14,-3400,4110
2026-05-15,-3400,4110
2026-05-18,-2110,3450
2026-05-19,-2110,3450
2026-05-20,-2110,3450
2026-05-21,-2110,3450
2026-05-22,-2110,3450
2026-05-25,-1850,2910
2026-05-26,-1850,2910
2026-05-27,-1850,2910
2026-05-28,-1850,2910
2026-05-29,-1850,2910
2026-06-01,-2410,4210
2026-06-02,-3410,5190
2026-06-03,-5640,7430
2026-06-04,-6850,8910
2026-06-05,-4190,7201
2026-06-08,-670,3109
2026-06-09,410,2811
2026-06-10,-1876,3991
2026-06-11,-2143,4322
2026-06-12,-1082,5341
2026-06-15,200,3189
2026-06-16,-749,0
2026-06-17,101,1561
2026-06-18,-1025,3516
2026-06-19,4859,-1159
2026-06-22,-1654,3879
2026-06-23,-2109,4120
2026-06-24,-912,2654
2026-06-25,383,5747
2026-06-26,-421,3310
2026-06-29,-800,2526
2026-06-30,-800,2526
2026-07-01,-800,2526
2026-07-02,-800,2526
2026-07-03,-804,2530
2026-07-06,243,3791
2026-07-07,393,-383
2026-07-08,1963,790
2026-07-09,-533,2058
2026-07-10,2603,2019
2026-07-13,-3062,2171
2026-07-14,-740,2928
2026-07-15,-736,705
2026-07-16,-4205,2986
2026-07-17,-376,1018
2026-07-20,-1121,1312
2026-07-21,1650,-656
2026-07-22,-819,-418
2026-07-23,-2999,2947
2026-07-24,-3893,5454
2026-07-27,-1688,2329
2026-07-28,755,1664
2026-07-29,2982,998
2026-07-30,3624,-1864
2026-07-31,277,2260
2026-08-03,922,1571
